##id,描述（不调用）,掉落类型（1：全选，2：概率走权重，随机，3：各走各概率）,奖励<类型|奖励ID|个数|概率>
#int,string,int,vector<vector<int>>
#id,desc,type,probability
1,青铜,1,<2|0|50|50|10000>%<1|0|1000|1000|10000>%<6|101|10000|10000|10000>%<6|80002|25|25|10000>%<6|80018|25|25|10000>%<6|108|5|10|10000>
2,白银,1,<2|0|60|60|10000>%<1|0|2000|2000|10000>%<6|101|15000|15000|10000>%<6|80002|35|35|10000>%<6|80018|35|35|10000>%<6|108|5|10|10000>
3,黄金,1,<2|0|70|70|10000>%<1|0|3000|3000|10000>%<6|101|20000|20000|10000>%<6|80002|45|45|10000>%<6|80018|45|45|10000>%<6|109|5|10|10000>
4,钻石,1,<2|0|80|80|10000>%<1|0|4000|4000|10000>%<6|101|25000|25000|10000>%<6|80002|60|60|10000>%<6|80018|60|60|10000>%<6|109|5|10|10000>
5,琥珀,1,<2|0|90|90|10000>%<1|0|5000|5000|10000>%<6|101|30000|30000|10000>%<6|80002|75|75|10000>%<6|80018|75|75|10000>%<6|110|5|10|10000>
6,七彩,1,<2|0|100|100|10000>%<1|0|6000|6000|10000>%<6|101|35000|35000|10000>%<6|80002|100|100|10000>%<6|80018|100|100|10000>%<6|110|5|10|10000>
11,普通怪物,1,<10|0|60|60|10000>%<6|101|10000|10000|10000>%<1|0|1000|1000|10000>
12,精英怪物,1,<10|0|60|60|10000>%<6|101|20000|20000|10000>%<1|0|50000|50000|10000>
13,BOSS,1,<10|0|60|60|10000>%<6|101|50000|50000|10000>%<1|0|200000|200000|10000>
0,青铜,1,<2|0|50|50|10000>%<1|0|1000|1000|10000>%<6|101|10000|10000|10000>%<6|80002|25|25|10000>%<6|80018|25|25|10000>%<6|108|5|10|10000>
100,金币（小）,1,<1|0|1000|1000|10000>
101,金币（中）,1,<1|0|5000|5000|10000>
102,金币（大）,1,<1|0|10000|10000|10000>
103,钻石（小）,1,<2|0|10|10|10000>
104,钻石（中）,1,<2|0|20|20|10000>
105,钻石（大）,1,<2|0|30|20|10000>
106,经验药水（小）,1,<6|101|100|100|10000>
107,经验药水（中）,1,<6|101|500|500|10000>
108,经验药水（大）,1,<6|101|1000|1000|10000>
110,天命石（小）,1,<6|80002|50|50|10000>
111,天命石（中）,1,<6|80002|100|100|10000>
112,天命石（大）,1,<6|80002|200|200|10000>
114,魔纹碎片（小）,1,<6|80018|10|10|10000>
115,魔纹碎片（中）,1,<6|80018|30|30|10000>
116,魔纹碎片（大）,1,<6|80018|50|50|10000>
117,新手装备引导掉落,1,<8|11001|3|3|10000>%<8|12001|1|1|10000>%<8|13001|1|1|10000>%<8|14001|1|1|10000>
118,纯白之铠,1,<8|13001|1|1|10000>
119,纯白之靴,1,<8|14001|1|1|10000>
120,纯白之盾,1,<8|12001|1|1|10000>
121,技能点,1,<6|112|10|10|10000>
200,奇遇奖励资源随机库,2,<6|80103|5|15|10000>%<6|101|1000|2000|10000>%<2|0|5|15|10000>%<1|0|5000|15000|10000>
500,契约凭证,1,<6|80081|1|1|10000>
501,货物,1,<6|92002|6|6|10000>
502,冒险者凭证,1,<6|92003|1|1|10000>
503,身份令牌,1,<6|92004|1|1|10000>
504,行商凭证,1,<6|92005|1|1|10000>
505,古文石板,1,<6|92006|1|1|10000>
506,怜悯水晶,1,<6|92007|1|1|10000>
507,慈悲水晶,1,<6|92008|1|1|10000>
508,药草,1,<6|92009|10|10|10000>
509,神秘的钥匙,1,<6|92010|1|1|10000>
510,红色水晶,1,<6|92011|1|15|10000>
511,遗忘者晶体,1,<6|92012|2|2|10000>
512,传送水晶,1,<6|92013|5|5|10000>
513,工具箱,1,<6|92014|1|1|10000>
514,狱斥候令牌,1,<6|92015|1|1|10000>
515,信件,1,<6|92016|1|1|10000>
516,指示牌,1,<6|92017|1|1|10000>
517,水晶项链,1,<6|92018|1|1|10000>
518,解毒剂,1,<6|92019|1|1|10000>
519,角斗券,1,<6|80105|5|5|10000>
520,解毒剂X3,1,<6|92019|3|3|10000>
521,消耗德拉科的钥匙X1,1,<6|92020|1|1|10000>
522,消耗兰基的钥匙X1,1,<6|92021|1|1|10000>
523,消耗弥尔顿的钥匙X1,1,<6|92022|1|1|10000>
524,消耗吉拉的钥匙X1,1,<6|92023|1|1|10000>
525,消耗军备库钥匙X1,1,<6|92024|1|1|10000>
526,令牌x1,1,<6|92001|1|1|10000>
527,安娜的情报,1,<6|92025|1|1|10000>
528,红色水晶,1,<6|92011|1|1|10000>
529,飞行器,1,<6|123|1|1|10000>
900,阿曼达,1,<6|91000|1|1|10000>
901,萤蜂女碎片*20,1,<6|20401|20|20|10000>
902,萤蜂女,1,<6|91024|1|1|10000>
601,钻石*10（宝箱白）,1,<2|0|10|10|10000>
602,钻石*15（宝箱绿）,1,<2|0|15|15|10000>
603,钻石*20（宝箱蓝）,1,<2|0|20|20|10000>
604,钻石*50（宝箱紫）,1,<2|0|50|50|10000>
605,钻石*100（宝箱橙）,1,<2|0|100|100|10000>
606,钻石*200（宝箱红）,1,<2|0|200|200|10000>
607,随机4星英雄碎片*5（宝箱白）,1,<6|90003|5|5|10000>
608,随机4星英雄碎片*10（宝箱绿）,1,<6|90003|10|10|10000>
609,随机4星英雄碎片*15（宝箱蓝）,1,<6|90003|15|15|10000>
610,随机5星英雄碎片*5（宝箱蓝）,1,<6|90004|5|5|10000>
611,随机5星英雄碎片*10（宝箱紫）,1,<6|90004|10|10|10000>
612,随机5星英雄碎片*15（宝箱橙）,1,<6|90004|15|15|10000>
613,随机5星英雄碎片*20（宝箱红）,1,<6|90004|20|20|10000>
614,随机6星英雄碎片*5（宝箱紫）,1,<6|90005|5|5|10000>
615,随机6星英雄碎片*10（宝箱橙）,1,<6|90005|10|10|10000>
616,随机6星英雄碎片*15（宝箱红）,1,<6|90005|15|15|10000>
617,召唤券*1（宝箱橙红）,1,<6|80081|1|1|10000>
701,金币x2000英雄经验x800钻石x30,1,<1|0|2000|2000|10000>%<6|101|800|800|10000>%<2|0|30|30|10000>
702,金币x2000英雄经验x800召唤券x1,1,<1|0|2000|2000|10000>%<6|101|800|800|10000>%<6|80081|1|1|10000>
703,金币x5000英雄经验x2000钻石x30,1,<1|0|5000|5000|10000>%<6|101|2000|2000|10000>%<2|0|30|30|10000>
704,金币x5000英雄经验x2000召唤券x1,1,<1|0|5000|5000|10000>%<6|101|2000|2000|10000>%<6|80081|1|1|10000>
705,金币x5000英雄经验x2000随机4星英雄碎片*10,1,<1|0|5000|5000|10000>%<6|101|2000|2000|10000>%<6|90003|10|10|10000>
706,金币x5000英雄经验x2000随机5星英雄碎片*2,1,<1|0|5000|5000|10000>%<6|101|2000|2000|10000>%<6|90005|2|4|10000>
707,金币x10000英雄经验x4000钻石x30,1,<1|0|10000|10000|10000>%<6|101|4000|4000|10000>%<2|0|30|30|10000>
708,金币x10000英雄经验x4000召唤券x1,1,<1|0|10000|10000|10000>%<6|101|4000|4000|10000>%<6|80081|1|1|10000>
709,金币x10000英雄经验x4000随机4星英雄碎片*10,1,<1|0|10000|10000|10000>%<6|101|4000|4000|10000>%<6|90003|10|10|10000>
710,金币x10000英雄经验x4000随机5星英雄碎片*2,1,<1|0|10000|10000|10000>%<6|101|4000|4000|10000>%<6|90004|2|2|10000>
711,金币x10000英雄经验x4000魔纹召唤券x1,1,<1|0|10000|10000|10000>%<6|101|4000|4000|10000>%<6|80112|1|1|10000>
712,金币x15000英雄经验x6000钻石x30,1,<1|0|15000|15000|10000>%<6|101|6000|6000|10000>%<2|0|30|30|10000>
713,金币x15000英雄经验x6000召唤券x1,1,<1|0|15000|15000|10000>%<6|101|6000|6000|10000>%<6|80081|1|1|10000>
714,金币x15000英雄经验x6000随机4星英雄碎片x10,1,<1|0|15000|15000|10000>%<6|101|6000|6000|10000>%<6|90003|10|10|10000>
715,金币x15000英雄经验x6000随机5星英雄X2,1,<1|0|15000|15000|10000>%<6|101|6000|6000|10000>%<6|90004|2|2|10000>
716,金币x15000英雄经验x6000魔纹召唤券x1,1,<1|0|15000|15000|10000>%<6|101|6000|6000|10000>%<6|80112|1|1|10000>
717,金币x20000英雄经验x8000钻石x30,1,<1|0|20000|20000|10000>%<6|101|8000|8000|10000>%<2|0|30|30|10000>
